Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
010-21659,297249649,14070230,24888261,56282605,16632565,8860429,67758842,1234960,5614381,10971518,26903560,4465800,348439,1637552,147154507,1028374
010-21661,139215590,9074704,10896666,19686336,6207745,1069129,42205129,483232,3121383,6730374,13430280,8643408,1017711,1909818,70807872,2068779
010-21708,272794218,14169050,19563567,41293315,12123840,2128535,63381864,3016303,3419412,10147654,15714271,9368834,1023505,2565049,125914050,2747715
010-21729,212635590,12193731,18168215,31873881,9833358,1311786,66651742,5459679,4877191,7632406,11162514,2712943,2070066,2238510,93048380,3241988
010-21785,233929773,11730902,15547657,31630585,8653660,4669768,52694776,2986124,4766861,8046603,14004114,4198225,1579759,1960893,130035152,2396875
010-21790,226541887,15202052,27155584,56047246,17122910,3534980,66643735,9339961,6361469,10976882,12932430,18247662,5903066,2922387,159731816,7696372
010-21798,344713688,15917773,35901399,85959699,25017147,14302721,74763885,8396316,8322986,12171351,19229172,19348897,3949510,2831262,177443906,6222967
010-21805,191805070,12517348,19016869,39297665,10266105,1301365,51924498,5946871,3561083,7545625,19239433,22500210,5463874,2353856,117678419,10562587
010-21810,217145330,11738698,24329700,56596028,17866716,15968308,65780718,7245940,8821422,12058974,9931726,16409183,9162084,2565886,145955567,8374816
010-21827,323411743,12073737,22432795,45213639,12103873,23342303,73357129,3089857,9805517,7944029,17926646,5873082,5394979,3142100,97667042,5124456
010-21853,373360802,12716457,20109130,38156638,12672740,20677568,74230022,1550029,8494071,8594944,15742699,2540192,4843766,2064847,14929939,3163191
010-21883,148017941,14759276,19330134,38400757,10019542,4060404,57242192,8554237,6390243,12896004,16138114,8928329,4798753,2686013,114202049,5695577
010-21887,178203763,10550326,14674372,26351601,7946050,2501280,56136383,3322949,3307643,7358392,11900567,14980698,2118916,2966375,119875315,4455753
010-21922,155281188,9816172,11519623,21148060,6027306,2340364,57062315,2576956,2948651,6696057,11443058,7852306,2115446,1936015,66959775,3325679
010-21923,180366897,16639197,27034632,51178807,15226879,2595641,65844180,10954690,5251469,14452220,27759876,18557529,8333653,3448365,144205579,10750528
010-21931,406328892,12978766,29516879,58246648,19017249,29354732,69901572,3035922,9866326,12585809,16578031,17559136,4346411,2882256,106843116,4679314
010-21934,278493202,14033574,23731905,49174905,12210204,2875565,68930638,3577782,5566934,14633917,20316068,14067832,1064167,2701199,132253578,2700158
010-21938,110330399,8008093,11745320,21157691,6940989,2643014,47723588,2060366,3381500,8491062,10736472,11336039,1725255,2045792,74853380,3132320
010-21968,166208072,11532727,16266734,29137842,9178851,1909957,56238484,3687110,3406144,11162927,15322203,18605707,2904595,2646105,119266146,6029861
010-21969,180168462,9666160,15675486,29866706,9380575,2326737,58433796,3535074,3625976,7817164,11381188,12359731,6891673,2316455,66931164,10784189
010-22003,414061652,17925217,27030285,56698724,16829615,2428806,82023618,1591351,4644195,14352824,20218217,8082185,1512022,4118578,172981058,2822684
010-22026,201319205,10301061,18603431,37299012,9205367,1747645,49509793,3032910,3348950,8467144,12683447,11925745,3473895,2959355,131639527,3914042
010-22039,292180521,16460699,28694659,57098260,17564687,4053805,70445799,6680654,7694882,13265921,20008699,26377436,7107025,3463185,140530115,11075828
010-22053,228287252,11294788,20274343,44132255,13266778,4848487,49039065,3191217,6006622,9708593,16552738,20565324,3593653,3203010,114358766,5226030
010-22079,238030601,12156913,24107817,51607254,14021993,1979223,48661954,7882702,4907339,11787021,19476721,26099111,6270486,3002711,115946076,10710529
010-22087,119967183,9602284,8428625,16600079,6025964,4067827,37362380,1835630,3042487,6769120,12254072,6659450,1169010,1267493,85800746,2380350
010-22111,182742223,11865835,14809404,31332983,9090370,1559779,46013932,2833989,3613180,7877951,14064792,7732839,1774172,2135953,129700397,2785042
010-22122,191103868,11561844,18307061,34908967,10040124,2152518,54206668,5908454,3657478,10433410,11952379,19361844,4409619,2605527,154328372,6677673
010-22151,177714745,10510401,18695167,41007561,11196594,5388781,48149532,6061382,4670384,8294153,12620386,16423783,3504189,2338954,142492604,5468463
