	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqd	pbQC61	pbQC62	pbQC63	pbQC64	pbQC65	pbQC66	pbQC67	pbQC68	pbQC69	pbQC70	pbQC71	pbQC72	pbQC73	pbQC74	pbQC75	pbQC76	pbQC77	pbQC78	pbQC79	pbQC80
2528	1088.88019315086	1088.87976878379	1088.88107307307	1853.55	1851.49	1857.59	11	11	NA	NA	NA	5687.70556640625	5317	5472.28369140625	4507.41455078125	NA	5517.21533203125	4992.93359375	4537.36328125	NA	NA	NA	4777.75390625	4633.52880859375	4649.2841796875	NA	3466.88916015625	NA
2529	1088.87946806236	1088.87803684221	1088.88061743039	1912.295	1908.16	1916.46	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	1910.30139160156	1673.02099609375	NA	NA	NA	NA	1840.47448730469	1992.17492675781	NA	1646.88806152344	1627.43249511719
2530	1088.8796948202	1088.87845501696	1088.8812669545	1977.43	1975.82	1977.97	5	5	NA	NA	NA	NA	1510.64465332031	NA	NA	NA	2391.25024414062	1711.04431152344	1644.91137695312	NA	NA	NA	NA	NA	NA	NA	NA	1383.36999511719
2531	1088.87878746906	1088.87774016543	1088.88108703708	1948.97	1926.51	1963.57	11	10	NA	NA	NA	2008.50524902344	1880.19189453125	NA	NA	NA	2209.53173828125	1764.15307617188	1691.18933105469	NA	NA	NA	1574.86645507812	1751.53332519531	1538.41333007812	1513.93884277344	1799.07495117188	NA
2532	1090.87912540867	1090.87795945299	1090.87993853275	139.543	135.344	139.864	13	13	NA	NA	5375.79736328125	6081.43603515625	5969.85302734375	6209.4130859375	NA	5715.8896484375	6400.61376953125	6956.564453125	5383.185546875	NA	NA	NA	6340.974609375	6171.7734375	6339.0146484375	5818.50634765625	NA	5166.39697265625
2533	1090.87924922118	1090.87816172582	1090.87962915961	1854.57	1851.64	1855.88	12	12	NA	NA	NA	6728.85693359375	6006.25830078125	NA	5732.408203125	6047.31787109375	6667.490234375	6373.4755859375	NA	NA	NA	NA	6970.6875	6253.810546875	5582.01806640625	5116.5078125	5192.48583984375	4796.3359375
2534	1090.87871262195	1090.87817536293	1090.87950449713	1824.88	1816.83	1828.68	12	12	NA	NA	NA	6338.1015625	5135.67041015625	5828.06787109375	5320.54443359375	5886.7646484375	5894.52978515625	6064.46875	NA	NA	NA	NA	5330.49072265625	5762.75244140625	6230.20849609375	5140.208984375	4617.4658203125	NA
2535	1090.87878984902	1090.87851032339	1090.87929818758	1926.74	1918.21	1941.03	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2166.37109375	NA	2113.83666992188	1915.3134765625	1694.07385253906
2536	1097.9970382985	1097.99543053116	1097.99829168141	1879.49	1875.42	1881.3	11	11	NA	NA	NA	1916.51489257812	1712.47082519531	NA	NA	NA	1763.45581054688	1984.90551757812	1583.92004394531	NA	NA	NA	2068.36669921875	1628.3623046875	1677.38952636719	1688.47473144531	1557.75341796875	1751.72814941406
2537	1097.99668176117	1097.9953666112	1097.9976785543	112.4505	108.082	114.439	8	8	NA	NA	NA	NA	1342.04809570312	1293.33337402344	1583.02905273438	NA	1772.51489257812	1831.94677734375	1330.61340332031	NA	NA	NA	NA	NA	1809.03894042969	NA	NA	1696.26623535156
