""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqd"	"pbQC61"	"pbQC62"	"pbQC63"	"pbQC64"	"pbQC65"	"pbQC66"	"pbQC67"	"pbQC68"	"pbQC69"	"pbQC70"	"pbQC71"	"pbQC72"	"pbQC73"	"pbQC74"	"pbQC75"	"pbQC76"	"pbQC77"	"pbQC78"	"pbQC79"	"pbQC80"	"isotopes"	"adduct"	"pcgroup"
"193"	132.030345781928	132.030291689604	132.030727395588	1342.24	1335.49	1344.47	20	20	1636838.75	1533826.625	1741526.125	2166482.5	2010895.125	1748015.375	1518841.25	1712862.375	1774813.125	1442706.75	1817036.5	1522441.125	1704612.75	1810011.25	2102624.5	2052076	2067927	1577129	2086355.375	1903879.125	""	"[M-H]- 133.038"	"32"
"194"	132.030361036158	132.030143985398	132.031061667853	1103.12	1101.07	1105.17	18	18	72869.7734375	64198.203125	65267.87109375	76094.1640625	61897.5234375	53307.33203125	41825.9921875	48135.35546875	45663.40234375	37359.8515625	37265.44140625	37062.89453125	35940.98828125	38377.94140625	38567.51953125	36504.34765625	41690.6015625	38739.01953125	40612.86328125	40407.62109375	""	""	"112"
"195"	132.923546216346	132.92339345735	132.923895483046	1814.54	1808.97	1820.48	16	16	0	0	0	9645.275390625	11006.5322265625	11199.5498046875	11298.82421875	12546.837890625	13300.2314453125	13313.2109375	11177.5263671875	8049.57373046875	12530.6083984375	11497.8408203125	12963.3037109375	12225.7236328125	13097.783203125	8978.1533203125	12053.6962890625	9896.7734375	""	"[M+2Cl]2- 195.912"	"102"
"196"	133.014578062345	133.014466695205	133.014808737716	1421.35	1419.04	1425.71	20	20	7939779	7669575.5	7976566	9964938	9304270	8345885	7387488.5	6622347	6134614.5	5783154.5	5712221	5714010	5679822	5808850.5	5714824.5	5543891.5	5545523	5575989.5	5696727.5	5710023	"[6][M]-"	""	"10"
"197"	134.017873153543	134.017805514546	134.018100309376	1421.125	1419.04	1425.71	20	20	361150.1875	344929.40625	363406.59375	512520.0625	440862.75	385632.53125	327758.25	299041.96875	265996	242906.234375	247735.890625	243518.25	233180.75	245680.296875	253930.515625	236861.890625	255226.390625	238984.8125	255722.078125	250957.203125	"[6][M+1]-"	""	"10"
"198"	134.865554692243	134.865386240912	134.865635258939	1217.935	1214.28	1219.99	12	12	43883.6875	30233.087890625	26692.966796875	28373.125	24949.21875	26679.19140625	26776.951171875	24425.4765625	24717.01171875	23815.994140625	21035.720703125	20005.08984375	20150.056640625	16568.916015625	22000.9296875	23422.22265625	20166.216796875	19435.771484375	18998.142578125	13044.935546875	""	""	"25"
"199"	135.030193639342	135.030122787282	135.030493951423	1185.13	1183.07	1187.18	20	20	328453.0625	352405.71875	380949.6875	616301.5	562399.625	500159	525768.3125	418420	369985.84375	389852.875	407440.1875	409074.5625	419594.25	490057.125	422213.84375	474622.21875	416856.125	489454.3125	395639.3125	481091.71875	"[7][M]-"	""	"57"
"200"	135.030200934268	135.030057722689	135.030494408656	1146.18	1143.88	1148.23	20	20	807136.75	744441.5625	716557.375	900122.3125	673229.25	561203.25	506744.53125	407304.4375	394094.1875	336274.84375	327533.9375	342131.1875	341247.875	309168.34375	294794.6875	303737.625	295632.25	284102.21875	295392.53125	253076.4375	"[8][M]-"	""	"48"
"201"	135.030055609273	135.029985172148	135.030261031275	1451.375	1446.84	1459.67	20	20	1260829.25	1361274.875	1455858.25	2051252.625	1740104.375	1899890.75	2127810.25	1963849.5	2088741.375	2320230.25	2100612.5	2273569	2272112.75	2405806.5	2202366	2250622	2297578.5	2489728.75	2348064.75	2480011.75	"[9][M]-"	""	"27"
"202"	135.031224949606	135.031119318667	135.031538750006	1002.66	992.407	1009.72	20	20	84481.25	74096.296875	66306.6015625	78538.3671875	67524.59375	62845.43359375	63565.296875	55348.890625	59319.70703125	55262.59765625	55271.0625	51670.90234375	60216.7734375	59803.66015625	53563.76171875	54110.79296875	58021.66015625	55623.51171875	57979.94921875	58373.39453125	""	""	"387"
"203"	135.031411499021	135.031342256189	135.031507758192	925.031	916.547	935.407	20	20	1542504.125	1463789.75	1467146.125	1483544	1365025	1351660.125	1313712.625	1318823.75	1299131.625	1259345.125	1262062	1233435.375	1254518.875	1216941.375	1247570.125	1246018.75	1279880.625	1245085.875	1313538.375	1343728	""	""	"36"
"204"	136.033380066944	136.033150827664	136.033589717305	1185.12	1181.03	1187.18	15	15	17019.84765625	18748.46484375	22307.947265625	31740.203125	26261.2578125	26219.431640625	21749.162109375	21008.453125	18618.18359375	21528.458984375	20618.310546875	20743.7734375	19807.728515625	22751.3359375	21608.50390625	23818.9296875	19411.876953125	23432.56640625	22560.92578125	24621.248046875	"[7][M+1]-"	""	"57"
"205"	136.033418825931	136.033354430897	136.033568426687	1450.885	1446.84	1455.82	14	14	62659.16015625	60007.95703125	68078.1015625	92058.4296875	71694.1171875	82617.9296875	91771.671875	85231.2578125	94803.75	97781.4609375	89062.421875	96242.6484375	99920.3515625	104597.984375	102130.3671875	102234.1484375	103722.0546875	111577.578125	105453.21875	113163.4921875	"[9][M+1]-"	""	"27"
"206"	136.033449576048	136.033186221454	136.033617281501	1147.155	1144.13	1148.23	10	10	39750.77734375	33508.8515625	32050.755859375	41693.71875	34403.4453125	28124.23046875	24944.158203125	20332.3125	20665.126953125	18318.0703125	15414.0087890625	15627.494140625	16660.888671875	17384.212890625	15713.15234375	15820.630859375	16890.787109375	15920.8515625	13983.06640625	14504.3017578125	"[8][M+1]-"	""	"48"
"207"	136.107581610352	136.107444284139	136.107684631723	982.7095	973.955	990.3	10	10	169706.0625	135240.03125	128197.6796875	161215.453125	129874.65625	112410.4140625	104225.5546875	95693.8671875	95267.9453125	88431.171875	85165.53125	93819.5859375	92025.1328125	95960.8046875	85007.4765625	89829.4453125	88404.3984375	91484.578125	96164.015625	94178.296875	""	""	"39"
"208"	138.941497287123	138.941365703002	138.941745498234	1669.85	1659.93	1686.54	19	19	4047.81787109375	4478.806640625	5152.748046875	8294.916015625	7075.3720703125	10589.958984375	10691.66796875	10027.33984375	10365.9189453125	10096.2314453125	12889.3984375	11477.9130859375	11129.0087890625	12000.484375	14220.6083984375	13209.4189453125	12909.1142578125	12629.205078125	13276.921875	847.831298828125	""	"[M-H-CO2]- 183.939"	"144"
"209"	140.01184475645	140.011684950188	140.012157435124	1377.85	1375.43	1380.37	11	11	33594.72265625	33134.265625	29999.60546875	58810.265625	44556.19921875	34870.53125	31050.576171875	22462.44140625	22208.32421875	20055.0390625	18538.626953125	16888.248046875	17177.09375	19248.181640625	18675.9453125	21579.1484375	17905.517578125	17939.97265625	20617.890625	16746.876953125	""	""	"42"
"210"	140.071823441082	140.071566281523	140.072013471238	1386.38	1382.36	1389.61	15	15	10638.7919921875	12423.9345703125	13162.8232421875	13544.6923828125	14945.453125	16314.5390625	20951.49609375	17221.369140625	20045.892578125	20804.052734375	20944.48046875	19659.064453125	20103.421875	22664.333984375	20243.701171875	20902.265625	19841.5078125	22722.625	21307.2421875	23169.92578125	""	"[M-H-CO2]- 185.069"	"54"
"211"	140.071789288422	140.071640606588	140.071973426972	1162.58	1160.52	1166.68	15	15	30937.349609375	32217.76953125	32847.14453125	30013.236328125	33130.98046875	30518.80078125	26219.623046875	34290.07421875	37303.72265625	36485.62890625	39322.953125	37114.34375	36917.33203125	36901.66015625	34534.734375	33073.59375	34528.3125	31471.837890625	33521.23046875	32021.103515625	""	""	"60"
"212"	140.071794537693	140.071679853915	140.071886033498	924.756	918.6	932.513	17	17	19635.05859375	19463.498046875	19135.755859375	18941.705078125	19380.451171875	17030.544921875	17060.162109375	18721.931640625	18620.962890625	18447.228515625	18321.48828125	18299.298828125	16166.958984375	15399.947265625	17576.88671875	15730.6025390625	15407.3798828125	15564.794921875	16732.015625	16374.765625	""	""	"264"
