	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc_test_data	pbQC001	pbQC002	pbQC003	pbQC004	pbQC005
319	141.923663173903	141.923619751962	141.923749687018	137.646	137.585	137.74	5	5	15341.197265625	16918.359375	14607.8701171875	14577.55859375	11541.16015625
660	248.974209574579	248.97410296341	248.974239171899	137.646	137.585	137.74	5	5	8557000	9079670	9052708	8799419	8928793
692	249.97561237922	249.975545335153	249.975653886155	137.646	137.585	137.74	5	5	227914.578125	253701.171875	241898.21875	246414.609375	240097.8125
795	262.988480194995	262.988357685878	262.988602569157	137.646	137.597	137.74	3	3	NA	NA	6064.2138671875	5517.03173828125	7555.22509765625
962	337.905433459537	337.90531387488	337.905464100858	137.646	137.585	137.74	5	5	86291.5703125	84773.5390625	85363.2109375	87784.6171875	75602.0390625
1002	339.903586776611	339.903539360726	339.90362613164	137.646	137.585	139.79	5	5	36567.17578125	42638.66796875	34795.43359375	40037.8046875	37512.6015625
1815	1169.97397376741	1169.97330693405	1169.97433204079	137.646	137.585	137.74	5	5	29977.6484375	28110.451171875	26604.287109375	26104.9296875	24373.63671875
830	283.263873095227	283.263796915335	283.263949275119	137.6505	137.585	137.716	2	2	7148.6943359375	6177.21630859375	NA	NA	NA
1830	1170.9776656374	1170.97749867034	1170.97783260445	137.6505	137.585	137.716	2	2	6975.55615234375	5841.5380859375	NA	NA	NA
1797	1088.87874208661	1088.87772980747	1088.8790559573	137.6565	135.535	139.79	4	4	7877.9404296875	7402.02099609375	NA	6924.0576171875	5891.41259765625
1117	381.880754167737	381.880657102427	381.880851233046	138.616	137.585	139.647	2	2	NA	9460.2666015625	NA	11354.05078125	NA
588	220.88694754927	220.886830650027	220.887138367158	139.635	135.665	141.746	3	3	4710.98876953125	12600.57421875	9623.3974609375	NA	NA
1265	482.782152862264	482.781784986954	482.782688306818	139.635	137.597	141.746	5	5	2853.63208007812	3518.82934570312	3435.93872070312	3229.65698242188	2892.04565429688
1273	484.781237757126	484.7809510597	484.781905027058	139.635	137.646	139.766	5	5	2523.28271484375	2506.20971679688	3218.52563476562	2803.46020507812	3004.35693359375
1800	1090.87765304266	1090.87701805238	1090.87841720935	139.635	137.597	139.79	5	5	9977.4296875	7764.62158203125	8170.705078125	8064.04638671875	6867.4921875
1399	604.84995260702	604.849478255914	604.850075975544	139.647	137.716	139.79	5	5	46350.32421875	51029.875	53759.6875	56613.41015625	55761.140625
1407	605.851373829189	605.85134440664	605.851742364212	139.647	137.585	139.766	3	3	3406.8876953125	3391.70385742188	NA	3673.7890625	NA
1411	606.849515723999	606.849359268427	606.849727359669	139.696	137.597	139.79	5	5	43109.359375	46817.67578125	47292.10546875	51974.01171875	54082.2265625
385	160.996854192151	160.996809352746	160.996899031555	139.7185	139.647	139.79	2	2	NA	NA	NA	12761.4990234375	10504.8330078125
811	276.853306161129	276.853220442112	276.853351716456	139.766	139.696	145.786	3	3	2581.33251953125	6690.83447265625	4488.66455078125	NA	NA
482	182.931181764982	182.930985257981	182.931292905652	141.685	135.547	141.746	3	3	NA	6134.029296875	4183.40966796875	2984.6162109375	NA
82	72.9697061268921	72.9696604255842	72.969762524566	141.7155	139.766	143.747	4	4	166423.484375	120876.7421875	138606.28125	140934.21875	NA
252	118.958226419474	118.958214366771	118.9583885469	141.816	141.746	143.735	3	3	15801.896484375	13149.5625	12542.15625	NA	NA
556	200.903791716497	200.903635286259	200.903948146736	142.7755	141.816	143.735	2	2	20144.73828125	14923.66796875	NA	NA	NA
233	116.959615797338	116.959571205156	116.959686316565	143.796	139.766	160.292	5	5	202090.9375	154975.28125	158329.578125	160892.671875	49474.8203125
105	74.9680827261933	74.9680058267295	74.9681596256572	144.7665	139.635	149.898	2	2	NA	9583.0009765625	NA	12119.2119140625	NA
922	320.843308230375	320.843090711033	320.843433605275	145.7915	133.615	151.997	4	4	2326.62939453125	8494.572265625	5163.326171875	5141.82568359375	NA
3	60.9931051845391	60.9930438760881	60.9931367385487	145.798	141.816	158.242	5	5	253906.109375	164833.875	177668.703125	183625.125	48320.953125
632	238.859500260214	238.859356053806	238.859507864955	145.798	143.866	147.836	3	3	47765.1875	33909.21875	NA	34627.9453125	NA
648	240.858191436482	240.858126380076	240.858256492889	145.8815	141.816	149.947	2	2	3165.43310546875	NA	2482.15307617188	NA	NA
