""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqc_test_data"	"pbQC001"	"pbQC002"	"pbQC003"	"pbQC004"	"pbQC005"	"isotopes"	"adduct"	"pcgroup"
"1108"	768.549816320298	768.54980967834	768.550311367768	340.684	338.173	344.785	3	3	41713.68359375	44478.75	38883.7265625	44240.5625	2847.4990234375	"[79][M+4]-"	""	"77"
"1109"	769.555272549089	769.554893924379	769.555316347197	340.684	340.174	346.835	3	3	14674.484375	16084.6298828125	14871.810546875	14902.103515625	0	""	""	"77"
"1110"	771.742313615412	771.741610259459	771.742682026042	1679.46	1675.47	1683.57	3	3	3180.09643554688	3174.33837890625	1780.02319335938	2983.5126953125	2424.2421875	""	"[M+Cl+NH3]- 719.762 [M-H]- 772.744"	"50"
"1111"	772.528044296207	772.527822693662	772.528097942723	326.333	324.282	330.433	3	3	40486.37109375	60771.375	65735.96875	72645.265625	923.225341796875	"[82][M]-"	"[M-H-COCH2]- 815.536"	"72"
"1112"	773.530994883485	773.530850922155	773.531498314566	326.333	324.282	330.433	3	3	19811.986328125	31722.771484375	36140.5234375	35567.00390625	892.027770996094	"[82][M+1]-"	""	"72"
"1113"	774.543447464093	774.543037327065	774.543640579901	324.283	322.322	328.383	3	3	101156.234375	141923.828125	153476	179408.46875	2231.89331054688	"[83][M]-"	"[M-H]- 775.542"	"72"
"1114"	775.547076104051	775.546457951368	775.547130887874	324.283	322.322	328.383	3	3	49354.984375	70495.03125	77801.3125	85215.296875	1015.02502441406	"[83][M+1]-"	""	"72"
"1115"	776.556765196103	776.556710169739	776.558830204063	326.333	324.282	330.433	3	3	43360.36328125	57112.52734375	57860.734375	70066.3125	2110.10864257812	"[83][M+2]-"	""	"72"
"1116"	777.561382250464	777.560578470996	777.561389826016	326.333	324.282	330.433	3	3	17221.166015625	23589.423828125	24703.916015625	28394.076171875	0	"[83][M+3]-"	""	"72"
"1117"	784.510669219113	784.508936316314	784.510946167339	590.806	586.707	594.908	3	3	2307.328125	5781.97607421875	8898.0146484375	28747.126953125	1402.09936523438	""	"[M+Cl]- 749.554"	"126"
"1118"	785.515061337887	785.514903986007	785.51778014166	596.958	590.806	605.159	3	3	1912.9736328125	2694.00317382812	3857.66015625	9081.2470703125	0	""	""	"242"
"1119"	786.506105108495	786.506023104596	786.506649948518	334.534	334.183	340.684	3	3	21274.912109375	27825.654296875	27082.4609375	27096.322265625	1143.03759765625	"[84][M]-"	"[M-2H+Na]- 765.524"	"77"
"1120"	786.497936713763	786.497484393573	786.507069132401	396.039	385.787	406.29	3	3	8529.7861328125	12207.2587890625	11953.8154296875	15799.83984375	28366.640625	""	""	"458"
"1121"	786.527090218155	786.526426358512	786.52758805655	590.807	590.806	596.958	3	3	5524.033203125	11703.94140625	14751.5029296875	53873.31640625	2520.24267578125	""	"[M-2H+K]- 749.554"	"126"
"1122"	787.509726794687	787.509563535768	787.510013165117	336.584	334.183	338.634	3	3	11340.7685546875	14520.400390625	13136.439453125	13646.7861328125	3236.6806640625	"[84][M+1]-"	""	"77"
"1123"	788.522872053414	788.522758966815	788.522928439828	332.483	332.193	338.634	3	3	90435.21875	129044	123220.65625	115831.0234375	5276.00244140625	"[85][M]-"	""	"72"
"1124"	788.541778129034	788.535574793022	788.542321784648	445.244	443.194	453.274	3	3	36519.48046875	53188.19921875	15664.357421875	17288.07421875	17310.41796875	""	""	"470"
"1125"	789.526243689676	789.526130233921	789.526393238103	332.483	332.193	338.634	3	3	45108.09765625	64413.8359375	60433.265625	58765.47265625	8516.796875	"[85][M+1]-"	""	"72"
"1126"	789.559591678026	789.559151008166	789.562946254039	512.899	510.85	521.101	3	3	6354.7529296875	8098.67724609375	8955.046875	0	0	""	""	"255"
"1127"	790.537345842655	790.537126538724	790.537544239864	332.483	330.213	336.584	3	3	72715.1328125	89731.34375	86677.453125	91560.6796875	7091.9833984375	"[85][M+2]-"	""	"72"
"1128"	791.541202560551	791.541064468649	791.54124296474	332.483	330.213	336.584	3	3	29909.310546875	39620.3984375	41380.82421875	40116.1875	4913.998046875	"[85][M+3]-"	""	"72"
"1129"	791.586499047654	791.585243382062	791.587898296597	514.949	512.9	523.151	3	3	5712.60498046875	6784.5390625	5495.98828125	0	0	""	""	"93"
"1130"	792.539710963471	792.539594352034	792.539820520475	382.838	381.688	391.939	3	3	25329.94921875	32317.615234375	36850.19140625	35718.09375	28552.12109375	"[86][M]-"	"[M+Cl]- 757.582"	"112"
"1131"	792.550788835558	792.550739366995	792.551237078592	332.483	330.213	336.584	3	3	21248.744140625	26245.029296875	23793.287109375	24831.61328125	1350.81640625	"[85][M+4]-"	""	"72"
"1132"	793.542984978294	793.542908010379	793.54336107183	382.838	381.688	391.939	3	3	12152.3671875	15068.3935546875	16795.5546875	14346.458984375	1908.73522949219	"[86][M+1]-"	""	"112"
"1133"	793.555870790549	793.555728898296	793.556274528448	332.483	330.213	336.584	3	3	7810.16357421875	9515.8203125	9787.73828125	10749.5517578125	0	""	"[M-H]- 794.564"	"72"
