Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
010-22109,185035314,23991199,26193513,14251105,47410653,12923223,68155913,3476152,8397480,11376167,30273340,2520283,2564885,1935264,75934600,1347413
010-22148,144385110,21668331,17891506,9851303,33951131,16062071,77591417,2454794,6759755,9431462,19694290,1823443,5678554,4379832,70156044,3686959
010-22167,238179329,19285564,22959937,14558338,41791891,15330774,78815251,6610563,10212412,9733570,22755963,11472783,8057053,3503481,70968770,8762749
010-22183,204360504,25964119,23830258,11507265,44648202,21222683,74012331,1646742,8510958,11244314,44746661,2893087,7037346,4604781,52330513,5617533
010-22188,113788746,14976680,17782059,11590962,34794273,13216891,65253401,9826428,6899186,12823594,7228885,1339491,2714667,2543354,56217056,8980974
010-30036,184600769,19816057,21425442,9833143,39069841,15298034,71402799,6589830,7403809,11256667,21369347,13107584,6754770,3499557,68365785,8059796
010-30062,85087830,12478220,13048278,6924105,23517600,10577752,60452052,2386213,4991067,8020691,22292028,4774159,5408157,3034642,38896789,2698800
010-30078,85691640,10825565,10816402,6589384,18018381,10774771,55594261,4368210,4536213,6065321,13023402,13859472,5586867,2557832,39384070,7709284
010-30128,25671765,11417322,9820105,5136499,14502258,10731943,99252645,10332497,4903876,12405346,4702172,2668140,6239315,1983278,36758090,3755891
010-30161,190954232,17677734,26838434,14949290,52396498,13941728,61219272,6635817,8190460,15055558,27318578,8948989,15500241,3338548,79550304,5590523
010-30193,66370067,10430564,11196032,6282591,19428567,14173300,78815350,3352150,6607013,7947145,10145694,5421438,5859910,1896806,55840601,3356241
010-30205,90324262,12965116,12050390,6670670,19923900,9572196,76458705,1060325,4738004,4818727,4867951,1185556,735275,1610343,52536403,860122
010-30277,235191684,18865625,26038051,13239272,43403379,17353826,74017295,5302100,9170349,13016582,14954347,34413355,5145387,3257666,94711836,14136163
010-30317,172589214,15224880,16968658,8594408,27630682,13341139,62416454,2707407,6331147,7778184,15420498,3090760,5074171,2828606,49169231,3176064
010-30321,105209464,11229305,16856816,7876878,31448321,11216946,61769411,1811335,7354108,11140267,8000025,2092764,5778365,3216021,31317334,2825543
010-30363,99861547,13635920,13248681,7637903,22595580,12297358,96545154,5597822,6113874,6822057,11805618,6859659,7162209,1836086,64375759,4141975
020-00012,145579389,12903907,13776420,7312493,22146463,6647162,60466298,4197683,4532871,9671430,9338605,10999873,2165798,2747148,68768537,4537286
020-00014,97795286,10643199,14487154,7698734,24113625,7812434,43842357,1808982,3266390,5792637,19717234,2243753,5495507,2382502,30715059,2180679
020-00016,128732939,16852902,14313986,8308772,23854200,11282094,59512543,8043567,5831711,10759658,13036063,4830591,3683749,1980995,55938614,3879085
020-00046,201757374,19118487,31980613,16522055,63380955,28331813,65474778,3867312,10052142,15930814,40954031,7208176,8250987,3652423,74436758,4928375
020-00057,175646447,22917963,21654022,11038382,36303473,15254434,70754762,4371748,6643392,14545006,21254969,14290200,6937414,3072294,65543306,6191209
020-04135,245317358,18278177,27637805,14876339,52189031,17795345,66825670,803285,8560783,14165530,19978498,2532967,3625129,4391300,84687659,1913862
020-04160,168372200,21272049,19345448,11011764,33543119,11508817,57002703,2229339,6330032,11701257,30433448,3277107,5546942,2814557,68348355,2023045
020-04171,100251813,12663607,13791750,8350755,24997699,9894426,53172395,1928855,5208873,7544454,8611994,2254714,1070621,2708094,67033098,1198795
020-04178,162739468,17311437,21252978,12609510,41492249,13213909,73703634,4034488,6874317,7954976,12676806,4068829,1549263,2665083,83642144,2948155
020-04180,81454954,14884798,10373790,5585512,16311184,11879603,66225425,3106644,5064667,5703069,12068098,9243699,3764743,1460321,62600544,2802966
020-04199,145619328,17785219,25837517,14004525,47220171,17598964,73154358,7627191,8302318,14098747,27912032,18934766,10110591,2999663,113137325,8452809
020-04213,125831443,18434810,24027934,12587820,45124613,20821650,72874207,10102263,9427444,14244321,14064387,9498333,12992177,3353007,84631960,8720084
020-04236,150885459,18719415,23043069,13199588,41309547,17294882,57282179,11090147,8444470,13024272,14335881,20241466,7381056,2895356,84036669,10650265
020-04297,235229471,26104189,27984350,14432278,50471265,8242261,73548582,5951265,8093637,15495077,31744485,3009762,13927777,4059791,90794251,10668917
020-04324,120546608,13754620,25104277,13623078,51552625,25735673,72758724,5314468,8950145,8567890,15533226,7976903,6115737,3635215,140703429,6867798
020-04325,86550014,15017374,13617225,6911768,21697699,10287557,59053518,5804325,6683789,7928534,13224362,2718544,4893551,2136533,63780267,2993747
020-06004-02,219935882,22924016,27916699,15494782,52755265,11631664,73530392,4733575,8284030,12897585,33938661,5322082,4711131,2513586,76387068,4076349
020-06005,71381553,13781407,16931344,8798502,28165372,12816579,71759113,8557006,6220944,9625237,14561318,8919251,6965471,2451708,52558383,4720322
020-08006-02,94628555,14110689,15212267,7375791,26564867,13163692,54933303,8468057,5761004,7273996,11128795,12234831,5957390,2576837,43162626,5720363
020-08055,63157314,9652603,9531428,5666656,15928224,7574373,52237139,2956861,4730266,5224447,8225928,4409466,594996,1477556,38100431,1851291
020-18006,85333398,14062627,11467976,6328996,19226874,11711028,52780753,4305527,4731844,9438709,10439499,6800635,4614487,2295671,57768138,3345719
020-50006,89084952,13197792,14293566,7401175,21941446,13746106,59895363,4625720,6902349,14137461,10278257,6387652,6146534,2657578,56886756,4311843
020-50017,80085999,9835859,10067419,6275408,17284575,7398996,57889874,2654555,2940483,6226413,10497855,2436115,5654606,1852014,35300253,2658256
020-50070,99832542,14597078,13093329,6941245,20534158,14300162,63770577,1455155,5912543,9091834,18193262,5507856,1705243,1696929,91016533,2117696
020-50073,114413331,11694322,14411538,8624060,25153567,8600617,62608880,2301945,4593744,7769787,10723685,6473327,2051764,1911260,74224962,1917430
020-50092,81990054,15893573,13729217,7205464,23633076,18202191,71990355,3151681,6888556,9921430,12889570,2521677,2457455,2119217,72769250,2652306
020-50105,97317240,11428818,11074050,6421804,19478945,5340948,43443369,582878,3229392,6553448,9216971,2882181,1561732,2077252,49696666,1329840
020-50111,69825650,9918714,7530267,4288749,12708263,5348185,60395937,2440778,3161764,5361210,5894803,6377452,2048011,1712817,46428487,2135012
020-50114,74075267,11664543,11878029,7489725,20622194,10370994,58177262,4510958,4701804,5879993,10623684,6459768,3516681,1828449,58702907,2881995
020-50115,160590876,15285342,19725643,9999902,30118002,17809353,64392348,3203162,8146060,10579559,17869626,9044972,4681762,2204753,65724211,3228068
020-50149,110420011,15458302,20592810,12117906,36447667,16133554,66162557,10936317,7648260,8091499,14128249,17579349,5569668,2734878,75456171,7068252
020-50172,175195770,21067618,21895892,11421566,38003080,11822588,64928393,8521643,6924281,11791594,12427219,10334175,5601252,2863050,64045255,5656293
020-52017,101179321,16272311,13799393,7737577,23412739,16261666,70489665,2283854,6050351,8862852,9836095,3958007,3276291,2887984,60356381,2580543
